disease,weight,symptom
아토피 피부염 (Atopic dermatitis),m,환경적 또는 감정적 요인에 따른 악화 (Course Influenced by Environmental or Emotional Factors)
아토피 피부염 (Atopic dermatitis),m,"특정 피부 특징 (Specific Skin Features: Keratosis Pilaris, Hyperlinear Palms, Ichthyosis)"
아토피 피부염 (Atopic dermatitis),m,습진 병변이 특정 부위에 반복 발생 (Tendency for Eczema in Specific Locations)
아토피 피부염 (Atopic dermatitis),m,출생 초기부터 발생한 피부 병변 (Early-Onset of Skin Lesions)
아토피 피부염 (Atopic dermatitis),m,"반복적인 피부 감염 병력 (Recurrent Skin Infections: S. aureus, HSV, Fungal Infections)"
아토피 피부염 (Atopic dermatitis),m,"기타 아토피 관련 합병증 병력 (History of Atopic Comorbidities: Asthma, Allergic Rhinitis, Conjunctivitis)"
아토피 피부염 (Atopic dermatitis),m,음식 알레르기 병력 (History of Food Allergy)
알레르기 비염 (Allergic rhinitis),h,"비염 증상 (Nasal Symptoms - Sneezing, Rhinorrhea, Congestion, Itching)"
알레르기 비염 (Allergic rhinitis),h,눈 가려움 및 결막염 동반 (Ocular Symptoms - Itchy or Watery Eyes)
알레르기 비염 (Allergic rhinitis),h,특정 환경에서 증상 악화 (Symptom Worsening in Allergen Exposure)
알레르기 비염 (Allergic rhinitis),m,야간 및 아침 기상 시 증상 악화 (Worse Symptoms at Night or Upon Waking)
알레르기 비염 (Allergic rhinitis),m,수면 장애 (Sleep Disturbances)
알레르기 비염 (Allergic rhinitis),m,운동 후 또는 음식 섭취 후 증상 악화 (Exacerbation After Eating or Exercise)
알레르기 비염 (Allergic rhinitis),m,코골이 및 수면 무호흡 (Snoring and Sleep Apnea)
알레르기 비염 (Allergic rhinitis),m,귀울림 및 이관기능장애 (Tinnitus and Eustachian Tube Dysfunction)
알레르기 비염 (Allergic rhinitis),h,알레르기 병력 (History of Allergies - Personal or Family)
알레르기 비염 (Allergic rhinitis),h,천식 또는 아토피 피부염 동반 (Coexisting Asthma or Atopic Dermatitis)
알레르기 비염 (Allergic rhinitis),m,흡연 및 환경적 요인 (Smoking and Environmental Exposure)
알레르기 비염 (Allergic rhinitis),m,직업적 위험 (Occupational Exposure)
알레르기 비염 (Allergic rhinitis),m,호르몬 변화 (Hormonal Changes)
위암 (Gastric Cancer),h,체중 감소 (Unintentional Weight Loss)
위암 (Gastric Cancer),h,지속적인 상복부 통증 (Persistent Epigastric Pain)
위암 (Gastric Cancer),h,삼킴곤란 (Dysphagia - Difficulty Swallowing)
위암 (Gastric Cancer),h,출혈성 증상 (GI Bleeding - Melena or Hematemesis)
위암 (Gastric Cancer),h,식욕 저하 (Loss of Appetite)
위암 (Gastric Cancer),m,지속적인 소화불량 (Chronic Dyspepsia)
위암 (Gastric Cancer),m,복부 팽만감 (Abdominal Bloating or Fullness)
위암 (Gastric Cancer),m,만성 빈혈 (Chronic Anemia - Iron Deficiency)
위암 (Gastric Cancer),m,조기 포만감 (Early Satiety)
위암 (Gastric Cancer),h,헬리코박터 파일로리 감염력 (Helicobacter pylori Infection History)
위암 (Gastric Cancer),h,가족력 (Family History of Gastric Cancer in First-Degree Relatives)
위암 (Gastric Cancer),h,유전적 요인 (Hereditary Gastrointestinal Polyposis or Hereditary Cancer Syndromes)
위암 (Gastric Cancer),m,흡연력 (Smoking History)
위암 (Gastric Cancer),m,"고염식 섭취 (High-Salt Diet, Red Meat, Processed Foods Consumption)"
위암 (Gastric Cancer),m,장형화생 및 위축성 위염 병력 (History of Gastric Intestinal Metaplasia or Atrophic Gastritis)
위암 (Gastric Cancer),m,사회경제적 요인 (Living in Persistent Poverty)
위암 (Gastric Cancer),m,위 절제술 병력 (History of Partial Gastrectomy)
궤양성 대장염 (Ulcerative Colitis),h,"혈변 (Hematochezia, Bloody Diarrhea)"
궤양성 대장염 (Ulcerative Colitis),h,"빈번한 설사 (Frequent Diarrhea, Loose Stools)"
궤양성 대장염 (Ulcerative Colitis),h,급박한 배변 욕구 (Urgency and Tenesmus)
궤양성 대장염 (Ulcerative Colitis),h,야간 배변 (Nocturnal Bowel Movements)
궤양성 대장염 (Ulcerative Colitis),h,"체중 감소 및 영양 불량 (Weight Loss, Malnutrition)"
궤양성 대장염 (Ulcerative Colitis),m,"전신적 증상 (Systemic Symptoms: Fatigue, Fever, Malaise, Anemia)"
궤양성 대장염 (Ulcerative Colitis),m,복부 경련 및 통증 (Abdominal Cramps and Pain)
궤양성 대장염 (Ulcerative Colitis),m,점액 배출 (Mucus in Stool)
궤양성 대장염 (Ulcerative Colitis),m,배변 후 잔변감 (Incomplete Evacuation)
궤양성 대장염 (Ulcerative Colitis),m,"관절통 (Arthralgia, Joint Pain)"
궤양성 대장염 (Ulcerative Colitis),m,"눈 및 피부 증상 (Ocular and Dermatologic Manifestations: Uveitis, Erythema Nodosum, Pyoderma Gangrenosum)"
궤양성 대장염 (Ulcerative Colitis),h,유전적 소인 (Genetic Predisposition)
궤양성 대장염 (Ulcerative Colitis),m,금연 여부 (Smoking Cessation)
궤양성 대장염 (Ulcerative Colitis),m,NSAIDs 및 항생제 사용력 (History of NSAID and Antibiotic Use)
궤양성 대장염 (Ulcerative Colitis),m,반복적인 감염 병력 (History of Recurrent Gastrointestinal Infections)
궤양성 대장염 (Ulcerative Colitis),m,식이 요인 (Dietary Factors)
궤양성 대장염 (Ulcerative Colitis),m,심리적 스트레스 (Psychological Stress)
궤양성 대장염 (Ulcerative Colitis),m,수술력 (History of Appendectomy)
궤양성 대장염 (Ulcerative Colitis),h,"일차 경화성 담관염 (Primary Sclerosing Cholangitis, PSC) 동반 여부"
"변비형 과민성 대장 증후군 (Irritable Bowel Syndrome with Constipation, IBS-C)",h,복통 (Abdominal Pain)
"변비형 과민성 대장 증후군 (Irritable Bowel Syndrome with Constipation, IBS-C)",h,배변 횟수 감소 (Infrequent Bowel Movements)
"변비형 과민성 대장 증후군 (Irritable Bowel Syndrome with Constipation, IBS-C)",h,"단단한 변 (Hard or Lumpy Stools, Bristol Stool Form Scale 1-2)"
"변비형 과민성 대장 증후군 (Irritable Bowel Syndrome with Constipation, IBS-C)",h,배변 시 과도한 힘주기 (Straining During Bowel Movements)
"변비형 과민성 대장 증후군 (Irritable Bowel Syndrome with Constipation, IBS-C)",h,불완전 배변감 (Sensation of Incomplete Evacuation)
"변비형 과민성 대장 증후군 (Irritable Bowel Syndrome with Constipation, IBS-C)",m,복부 팽만감 (Abdominal Bloating)
"변비형 과민성 대장 증후군 (Irritable Bowel Syndrome with Constipation, IBS-C)",m,배변 후에도 남아있는 불편감 (Post-Defecation Discomfort)
"변비형 과민성 대장 증후군 (Irritable Bowel Syndrome with Constipation, IBS-C)",m,과민성 대장 증후군의 배변 패턴 변화 (Altered Bowel Habits)
"변비형 과민성 대장 증후군 (Irritable Bowel Syndrome with Constipation, IBS-C)",m,장내 가스 증가 (Excessive Gas or Flatulence)
"변비형 과민성 대장 증후군 (Irritable Bowel Syndrome with Constipation, IBS-C)",m,야간 증상 (Nocturnal Symptoms)
"변비형 과민성 대장 증후군 (Irritable Bowel Syndrome with Constipation, IBS-C)",m,전신적 증상 (Systemic Symptoms)
"변비형 과민성 대장 증후군 (Irritable Bowel Syndrome with Constipation, IBS-C)",h,여성 (Female Gender)
"변비형 과민성 대장 증후군 (Irritable Bowel Syndrome with Constipation, IBS-C)",h,젊은 연령 (Younger Age Group)
"변비형 과민성 대장 증후군 (Irritable Bowel Syndrome with Constipation, IBS-C)",h,"스트레스 및 정신 건강 문제 (Stress & Psychological Comorbidities: Anxiety, Depression, etc.)"
"변비형 과민성 대장 증후군 (Irritable Bowel Syndrome with Constipation, IBS-C)",m,"식이 요인 (Dietary Factors: Low Fiber, High Fat, FODMAPs Sensitivity)"
"변비형 과민성 대장 증후군 (Irritable Bowel Syndrome with Constipation, IBS-C)",m,운동 부족 (Physical Inactivity)
"변비형 과민성 대장 증후군 (Irritable Bowel Syndrome with Constipation, IBS-C)",m,"수면 장애 (Sleep Disorders: Insomnia, Poor Sleep Quality)"
"변비형 과민성 대장 증후군 (Irritable Bowel Syndrome with Constipation, IBS-C)",m,과민성 장 증후군의 가족력 (Family History of IBS)
"변비형 과민성 대장 증후군 (Irritable Bowel Syndrome with Constipation, IBS-C)",m,이전 위장 질환 및 감염성 장염 병력 (Prior GI Infections & Post-Infectious IBS)
인체면역결핍바이러스 감염 (HIV Infection),h,발열 (Fever)
인체면역결핍바이러스 감염 (HIV Infection),h,인후통 (Sore Throat)
인체면역결핍바이러스 감염 (HIV Infection),h,림프절 종대 (Lymphadenopathy)
인체면역결핍바이러스 감염 (HIV Infection),h,근육통 및 관절통 (Myalgia and Arthralgia)
인체면역결핍바이러스 감염 (HIV Infection),h,피부 발진 (Maculopapular Rash)
인체면역결핍바이러스 감염 (HIV Infection),h,구강 궤양 (Oral Ulcers)
인체면역결핍바이러스 감염 (HIV Infection),h,체중 감소 (Unintentional Weight Loss)
인체면역결핍바이러스 감염 (HIV Infection),h,구강 및 식도 칸디다증 (Oral/Esophageal Candidiasis)
인체면역결핍바이러스 감염 (HIV Infection),h,만성 설사 (Chronic Diarrhea)
인체면역결핍바이러스 감염 (HIV Infection),m,야간 발한 (Night Sweats)
인체면역결핍바이러스 감염 (HIV Infection),m,심한 피로 (Severe Fatigue)
인체면역결핍바이러스 감염 (HIV Infection),m,"복합적인 소화기 증상 (Gastrointestinal Symptoms: Nausea, Vomiting, Abdominal Pain)"
인체면역결핍바이러스 감염 (HIV Infection),m,"신경학적 증상 (Cognitive Impairment, Peripheral Neuropathy)"
인체면역결핍바이러스 감염 (HIV Infection),m,생식기 궤양 및 성병 병력 (Genital Ulcers and History of STIs)
인체면역결핍바이러스 감염 (HIV Infection),h,"남성과 성관계를 가진 남성 (Men Who Have Sex with Men, MSM)"
인체면역결핍바이러스 감염 (HIV Infection),h,"주사 약물 사용 (Injection Drug Use, IDU)"
인체면역결핍바이러스 감염 (HIV Infection),h,"성매매 경험 (Transactional Sex, Commercial Sex Work)"
인체면역결핍바이러스 감염 (HIV Infection),h,HIV 감염 파트너와 성 접촉 (Sexual Contact with HIV-Positive Partner)
인체면역결핍바이러스 감염 (HIV Infection),m,다수의 성 파트너 (Multiple Sexual Partners)
인체면역결핍바이러스 감염 (HIV Infection),m,"성병 병력 (History of Sexually Transmitted Infections, STIs)"
인체면역결핍바이러스 감염 (HIV Infection),m,교도소 수감 경험 (Incarceration History)
인체면역결핍바이러스 감염 (HIV Infection),m,고위험 환경에서 생활 (Living in High-Prevalence Settings)
인체면역결핍바이러스 감염 (HIV Infection),h,"모체-태아 수직 감염 (Mother-to-Child Transmission, MTCT)"
인체면역결핍바이러스 감염 (HIV Infection),m,"침습적 시술 경험 (Invasive Procedures: Tattoos, Piercings, Cosmetic Surgery, etc.)"
